GeneID	CHROM	start	end
Glyma.16G131500	16	28632470	28634311
Glyma.04G080700	4	6781998	6786902
Glyma.04G080800	4	6790071	6794254
Glyma.04G080900	4	6795212	6798720
Glyma.20G011000	20	925425	930493
Glyma.20G011100	20	932526	933937
Glyma.20G011200	20	937927	939737
Glyma.20G011300	20	942440	943347
Glyma.20G011400	20	953672	954573
Glyma.02G198900	2	38095513	38096140
Glyma.02G199000	2	38096406	38101699
Glyma.02G199100	2	38114569	38118948
Glyma.02G199200	2	38145634	38146544
Glyma.20G011500	20	958806	959948
Glyma.20G011600	20	969652	970427
Glyma.20G011700	20	974511	985182
Glyma.20G011800	20	987123	993731
Glyma.16G131300	16	28609768	28610661
Glyma.16G131400	16	28623982	28631949
Glyma.16G131500	16	28632470	28634311
Glyma.04G080700	4	6781998	6786902
Glyma.04G080800	4	6790071	6794254
Glyma.04G080900	4	6795212	6798720
Glyma.04G081000	4	6806556	6808116
Glyma.04G081100	4	6813412	6820632
Glyma.04G081200	4	6822256	6826325
Glyma.04G081300	4	6827253	6829120
Glyma.14G043300	14	3298338	3303958
Glyma.20G013500	20	1183713	1191776
Glyma.20G013600	20	1214020	1216156
Glyma.20G013700	20	1223277	1224375
Glyma.07G085400	7	7870356	7876333
Glyma.07G085500	7	7877189	7883386
Glyma.02G191200	2	36124471	36126507
Glyma.04G081400	4	6829121	6833752
Glyma.16G131600	16	28659167	28663612
Glyma.16G131700	16	28678260	28682437
Glyma.16G131800	16	28739594	28745224
Glyma.16G131900	16	28752385	28796810
Glyma.12G028200	12	2101013	2107983
Glyma.12G028300	12	2111211	2114854
Glyma.12G028400	12	2124497	2128944
Glyma.12G028500	12	2130741	2132946
Glyma.12G028600	12	2135059	2135824
Glyma.12G028700	12	2142566	2145573
Glyma.12G028800	12	2148313	2153234
Glyma.12G028900	12	2155156	2165019
Glyma.07G010200	7	753451	763749
Glyma.07G010300	7	775357	779216
Glyma.07G010400	7	783384	789811
Glyma.07G010500	7	803172	810263
Glyma.07G010600	7	811039	816200
Glyma.07G010700	7	817488	822276
Glyma.07G010800	7	824697	827823
Glyma.12G028300	12	2111211	2114854
Glyma.12G028400	12	2124497	2128944
Glyma.12G028500	12	2130741	2132946
